10.64.250.254 - - [13/Feb/2026 17:24:49] "HEAD / HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET / HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /audio_player.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /flutter_service_worker.js?v=336256480 HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:50] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /service-worker.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /main.dart.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /flutter_service_worker.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:55] "GET /flutter.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] code 404, message File not found
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /manifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] code 404, message File not found
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:56] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /flutter_service_worker.js?v=1096406208 HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /index.html HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /main.dart.js HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:24:59] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.250.254 - - [13/Feb/2026 17:25:01] "GET /service-worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:02] "GET / HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:02] "GET /main.dart.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:02] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.250.254 - - [13/Feb/2026 17:25:02] code 404, message File not found
10.64.250.254 - - [13/Feb/2026 17:25:02] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
