127.0.0.1 - - [07/Feb/2026 00:58:10] "HEAD / HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:18] "HEAD / HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:18] "GET / HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /audio_player.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /index.html HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /main.dart.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:19] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /sw.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /offline.html HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /main.dart.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /flutter.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /flutter_service_worker.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:22] "GET /manifest.json HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:23] "GET /icons/Icon-192.png HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:23] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.87.242 - - [07/Feb/2026 01:01:24] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:24] "GET /main.dart.js HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:24] "GET /index.html HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:24] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:24] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.87.242 - - [07/Feb/2026 01:01:25] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.87.242 - - [07/Feb/2026 01:02:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.87.242 - - [07/Feb/2026 01:03:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:09] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:26] "GET / HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:26] "GET /flutter_bootstrap.js HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:26] "GET /audio_player.js HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /icons/Icon-512.png HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /icons/Icon-192.png HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /favicon.png HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /main.dart.js HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /sw.js HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /offline.html HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /flutter.js HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /manifest.json HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:27] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:30] "GET /main.dart.js HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:31] "GET /assets/FontManifest.json HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:31] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:31] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:32] "GET /assets/AssetManifest.bin.json HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /assets/assets/images/portal_energy_vortex.webp HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /index.html HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /main.dart.js HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:33] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:34] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:18:35] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:19:10] "GET /assets/assets/videos/transition_materie_to_energie.mp4 HTTP/1.1" 200 -
10.64.151.212 - - [07/Feb/2026 12:19:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:20:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
10.64.151.212 - - [07/Feb/2026 12:21:23] "GET /flutter_service_worker.js?v=2794718517 HTTP/1.1" 304 -
