✅ Weltenbibliothek mit OpenClaw-Integration läuft auf Port 5060
10.64.1.202 - - [27/Feb/2026 23:17:41] "HEAD / HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET / HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET /audio_player.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET /service-worker.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET /flutter_service_worker.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET /flutter.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:41] "GET /manifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:42] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:42] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:42] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:44] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /audio_player.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /flutter_service_worker.js?v=4107385240 HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:45] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:46] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:47] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:47] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:47] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:48] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:48] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /flutter_service_worker.js?v=4037444810 HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:49] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:50] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:50] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:50] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:50] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:50] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:50] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:51] "HEAD / HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /icons/Icon-192.png HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /favicon.png HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /flutter_service_worker.js?v=4037444810 HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:52] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:53] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:53] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:53] "GET /audio_player.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:53] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /flutter.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:54] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:54] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:54] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:55] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:55] "GET /flutter_service_worker.js?v=4107385240 HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:56] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:56] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:56] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:56] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:56] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:17:57] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:57] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:17:57] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:17:57] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:17:57] code 404, message File not found
