Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:08:18] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:22] "GET /flutter_service_worker.js?v=3949168911 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:22] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:22] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:22] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:22] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:23] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET /sw.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET /offline.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET /flutter.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:24] "GET /flutter_service_worker.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:25] "GET /manifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:25] "GET /icons/Icon-192.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:25] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /flutter_service_worker.js?v=2599708464 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:08:26] "GET /assets/FontManifest.json HTTP/1.1" 200 -
