Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:17:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:17:19] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:17:19] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:17:19] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:17:19] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:17:19] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:18:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:18:34] "GET /assets/assets/videos/transition_energie_to_materie.mp4 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:19:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:19:48] "GET /favicon.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:19:48] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:19:48] "GET /icons/Icon-192.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:20:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:21:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:22:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:23:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:24:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:25:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:26:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:27:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:28:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:29:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:30:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:31:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:32:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:32:47] "GET /assets/packages/flutter_sound_web/howler/howler.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:32:47] "GET /assets/packages/flutter_sound_web/src/flutter_sound.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:32:48] "GET /assets/packages/flutter_sound_web/src/flutter_sound_player.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:32:48] "GET /assets/packages/flutter_sound_web/src/flutter_sound_recorder.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:33:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:34:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:35:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:36:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:37:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:38:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:38:35] "GET /assets/assets/videos/transition_materie_to_energie.mp4 HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:39:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:40:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:41:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:42:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:43:18] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:44:52] "HEAD / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:52] "GET / HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /audio_player.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /sw.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /offline.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /flutter.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /flutter_service_worker.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /manifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /icons/Icon-192.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:53] "GET /icons/Icon-512.png HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:44:55] "GET /assets/FontManifest.json HTTP/1.1" 200 -
